,title,price,link
0,"NEW!  TOOLWAY 3"" AND 4"" PAINT BRUSHES",$8,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/new-toolway-3-and-4-paint-brushes/6798256219.html
1,NEW! CANADA PRO-FIX 24 and 30 INCH BOW SAW BLADES,$6,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/new-canada-pro-fix-24-and-30-inch-bow/6790193666.html
2,NEW!  MATRIX 7pc NUT DRIVER SET,$15,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/york-new-matrix-7pc-nut-driver-set/6786319296.html
3,NEW!  30m/100ft REWINDING SURVEYOR'S MEASURING TAPE,$17,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/york-new-30m-100ft-rewinding-surveyors/6790129735.html
4,"F1.2x710 28-Inch ,Easy Operation Sheet Metal Forming with 6 Pieces For",$575,https://toronto.craigslist.orghttps://toronto.craigslist.org/bra/tld/d/burnaby-f12xinch-easy-operation-sheet/6800405796.html
5,52-Inch Foot Stomp Shear Q01-5216,$2199,https://toronto.craigslist.orghttps://toronto.craigslist.org/mss/tld/d/burnaby-52-inch-foot-stomp-shear-q/6791785073.html
6,Old Wooden Yard Stick,$4,https://toronto.craigslist.orghttps://toronto.craigslist.org/yrk/tls/d/richmond-hill-old-wooden-yard-stick/6793631863.html
7,makita cordless band saw blades,$45,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/north-york-makita-cordless-band-saw/6801806292.html
8,KNIPEX AND KLEIN TOOLS FOR ELECTRICIAN,$385,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/north-york-knipex-and-klein-tools-for/6801810262.html
9,7 inch Cutting Metal Cutting Band Saw BS-712R,$1799,https://toronto.craigslist.orghttps://toronto.craigslist.org/mss/tld/d/burnaby-7-inch-cutting-metal-cutting/6800402719.html
10,Hs-1000 Gauge Sheet Metal Fabrication Plate Cutting Cutter,$699,https://toronto.craigslist.orghttps://toronto.craigslist.org/bra/tld/d/burnaby-hs-1000-gauge-sheet-metal/6791787606.html
11,"Cordless Drill 1/2"" & Corded Hammer Drill",$85,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/north-york-cordless-drill-1-2-corded/6803825324.html
12,2 Wheel Moving Dolly or Hand Truck- Heavy Duty - Exc Cond,$40,https://toronto.craigslist.orghttps://toronto.craigslist.org/mss/tls/d/mississauga-2-wheel-moving-dolly-or/6793054229.html
13,Kaka Industrial TR-60 Manual Tube Pipe Roller Bender,$454,https://toronto.craigslist.orghttps://toronto.craigslist.org/oak/tld/d/burnaby-kaka-industrial-tr-60-manual/6791131477.html
14,Scriber Carbide Tip,$6,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/north-york-scriber-carbide-tip/6803528156.html
15,STEEL LOCK LONG SHANK ROUND TYPE,$13,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tld/d/north-york-steel-lock-long-shank-round/6803527370.html
16,DELUXE R134a ALUMINUM AIR CONDITIONER MANIFOLD GAUGE,$100,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tld/d/north-york-deluxe-r134a-aluminum-air/6803527128.html
17,BRAND NEW REAR ALEX BEARING SERVICE,$40,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tld/d/north-york-brand-new-rear-alex-bearing/6803526897.html
18,~Brand new~ Magna Cart Flatform 4-Wheeled Hand Truck dolly,$79,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/brand-new-magna-cart-flatform-4-wheeled/6783476139.html
19,Vintage Folding Yard Stick,$4,https://toronto.craigslist.orghttps://toronto.craigslist.org/yrk/tls/d/richmond-hill-vintage-folding-yard-stick/6793631263.html
20,Precision 10-60 tube tester transistor,$350,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/precisiontube-tester-transistor/6797666569.html
21,"""M"" Style Quick Coupler Pieces",$3,https://toronto.craigslist.orghttps://toronto.craigslist.org/bra/tls/d/brampton-style-quick-coupler-pieces/6803354103.html
22,Dewalt Saw Push Stick Rip Claw OEM Part A24507,$10,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/toronto-dewalt-saw-push-stick-rip-claw/6800084660.html
23,tools,$1,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/tools/6803299207.html
24,6-pc Stubby Auger Bit Set,$40,https://toronto.craigslist.orghttps://toronto.craigslist.org/bra/tls/d/brampton-6-pc-stubby-auger-bit-set/6803236492.html
25,Power Fist 2 Ton Trolley Hydraulic Jack,$50,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/power-fist-2-ton-trolley-hydraulic-jack/6787410993.html
26,KAKA 7x12 Inch Metal Cutting Bandsaw,$1649,https://toronto.craigslist.orghttps://toronto.craigslist.org/yrk/tld/d/burnaby-kaka-7x12-inch-metal-cutting/6791133183.html
27,PPH-500 19-In Throat Pneumatic Planishing Hammer,$299,https://toronto.craigslist.orghttps://toronto.craigslist.org/mss/tld/d/burnaby-pphin-throat-pneumatic/6794893307.html
28,Vintage Steelpix Stemming Machine,$20,https://toronto.craigslist.orghttps://toronto.craigslist.org/yrk/tls/d/richmond-hill-vintage-steelpix-stemming/6787237511.html
29,Made in USA DEWALT 20V Li-Ion Compact Hammer Drill/Driver Kit & bonus,$140,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/toronto-made-in-usa-dewalt-20v-li-ion/6788838546.html
30,5 pc plier set $ 25,$25,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/5-pc-plier-set-25/6803115411.html
31,/SCREWDRIVERS $20/ ROLLERSTAND $20 /,$20,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/screwdrivers-20-rollerstand-20/6803115980.html
32,Wheelbarrow,$50,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/toronto-wheelbarrow/6803102966.html
33,2 new Milwaukee M18 batteries and charger,$135,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/toronto-2-new-milwaukee-m18-batteries/6803054396.html
34,Karcher pressure washer for parts or repair,$20,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/north-york-karcher-pressure-washer-for/6803037321.html
35,Ridgid 5pc Set for sale,$400,https://toronto.craigslist.orghttps://toronto.craigslist.org/bra/tls/d/brampton-ridgid-5pc-set-for-sale/6803027303.html
36,"FSM-16 Shrinker Stretcher,16 Gauge Mild Steel Capacity",$1198,https://toronto.craigslist.orghttps://toronto.craigslist.org/oak/tld/d/burnaby-fsm-16-shrinker-stretcher16/6800409106.html
37,Rupes Bigfoot ibrid Nano,$700,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/west-toronto-rupes-bigfoot-ibrid-nano/6802942073.html
38,"New 12"" Impuls Bag Sealer with copper transformer",$38,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/scarborough-new-12-impuls-bag-sealer/6802848977.html
39,"20"" Impulse Sealer Heat Manual Seal Machine Plastic Poly Bag",$139,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/scarborough-20-impulse-sealer-heat/6802843481.html
40,6 foot alumimum ladder,$40,https://toronto.craigslist.orghttps://toronto.craigslist.org/tor/tls/d/toronto-6-foot-alumimum-ladder/6802783938.html
