,item, price ,url
0,Transfer Punch Set, $75.00 ,https://toronto.craigslist.org/yrk/tls/d/newmarket-transfer-punch-set/6786183782.html
1,SMC Air Cylinder, $150.00 ,https://toronto.craigslist.org/yrk/tls/d/newmarket-smc-air-cylinder/6786184341.html
2,"1-3/16"" HSS Taper Shank Drill Bit NEW", $45.00 ,https://toronto.craigslist.org/yrk/tls/d/newmarkethss-taper-shank-drill-bit-new/6786184709.html
3,"Somet 20"" Height Gage", $160.00 ,https://toronto.craigslist.org/yrk/tls/d/newmarket-somet-20-height-gage/6786185308.html
4,"1/2"" Socket Shoulder Screws", $65.00 ,https://toronto.craigslist.org/yrk/tls/d/newmarket-1-2-socket-shoulder-screws/6787188511.html
5,Sine Bar, $180.00 ,https://toronto.craigslist.org/yrk/tls/d/newmarket-sine-bar/6787189191.html
6,Dewalt table saw, $300.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-dewalt-table-saw/6804435381.html
7,Heavy Duty Packing Tape Dispenser, $5.00 ,https://toronto.craigslist.org/oak/tls/d/oakville-heavy-duty-packing-tape/6786817847.html
8,NEW 110LB SPRING SCALE HOOK TYPE, $18.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-new-110lb-spring-scale-hook/6804392107.html
9,"3/8"" Variable Speed Right Angle Drill", $60.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-3-8-variable-speed-right/6804392464.html
10,"Brand New 5"" Double Cut Dual Saw Kit", $130.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-5-double-cut-dual/6804393479.html
11,INNER TIE ROD REMOVAL SET, $60.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-inner-tie-rod-removal-set/6804394006.html
12,Black & decker cyclone belt sander, $30.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-black-decker-cyclone-belt-sander/6804328732.html
13,3M N95 particulate respirator masks, $10.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-3m-n95-particulate/6804326897.html
14,Vintage CNR Railroad Spike Hammer Tool, $50.00 ,https://toronto.craigslist.org/tor/tls/d/scarborough-vintage-cnr-railroad-spike/6804252555.html
15,Dewalt Professional XR 18 volt Hammer Drill & XR Impact Driver, $130.00 ,https://toronto.craigslist.org/tor/tls/d/markham-dewalt-professional-xr-18-volt/6804247288.html
16,Master Lock Red Lock out locks, $40.00 ,https://toronto.craigslist.org/yrk/tls/d/woodbridge-master-lock-red-lock-out/6804132170.html
17,NEW! CANADA PRO-FIX 24 and 30 INCH BOW SAW BLADES, $6.00 ,https://toronto.craigslist.org/tor/tls/d/new-canada-pro-fix-24-and-30-inch-bow/6790193666.html
