,title,price,link
0,Carpenter Apron Leather 11 Pocket (2 lrg 3 med 6 sm) with Web Belt,$14.99,https://www.kijiji.ca/v-tool-other/ontario/carpenter-apron-leather-11-pocket-2-lrg-3-med-6-sm-with-web-belt/c1207201
1,HOC P7 - 3-1/4 INCH 7.5 AMP HEAVY DUTY PLANER WITH DUST BAG + FREE SHIPPING + 90 DAY WARRANTY,$149.00,https://www.kijiji.ca/v-tool-other/canada/hoc-p7-3-1-4-inch-7-5-amp-heavy-duty-planer-with-dust-bag-free-shipping-90-day-warranty/c472841
2,TOOL CADDY TOOL ORGANIZER,$10.00,https://www.kijiji.ca/v-tool-storage-bench/city-of-toronto/tool-caddy-tool-organizer/1219927414
3,Carpenter Apron Leather 11 Pocket (2 lrg 3 med 6 sm) with Web Belt,$14.99,https://www.kijiji.ca/v-tool-other/ontario/carpenter-apron-leather-11-pocket-2-lrg-3-med-6-sm-with-web-belt/c1207201
4,Makita Electric plane,$60.00,https://www.kijiji.ca/v-power-tool/city-of-toronto/makita-electric-plane/1407417277
5,Assorted tools machines 400$ OBO,$400.00,https://www.kijiji.ca/v-power-tool/city-of-toronto/assorted-tools-machines-400-obo/1396082091
6,Tool Boxes,$20.00,https://www.kijiji.ca/v-tool-storage-bench/city-of-toronto/tool-boxes/1212857112
7,Kuny's Carpenter Leather Apron Belt Pouch AP-8100 Brand New,$35.00,https://www.kijiji.ca/v-tool-other/city-of-toronto/kunys-carpenter-leather-apron-belt-pouch-ap-8100-brand-new/1391074652
8,Carpenter pouch,$70.00,https://www.kijiji.ca/v-power-tool/city-of-toronto/carpenter-pouch/1402514059
9,"$$$ CASH FOR OLD HAND TOOLS - ANVILS, PLANES, SAWS, CHISELS",Please Contact,https://www.kijiji.ca/v-hand-tool/city-of-toronto/cash-for-old-hand-tools-anvils-planes-saws-chisels/1348221026
